staging_id,raw_id,inmobiliaria_id,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,titulo,url_normalizada,warnings
81758,82248,3531,75,2,done,60000,ARS,-34.9778619,-67.6897295,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=36&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81759,82249,3531,75,2,done,60000,ARS,-34.9862574,-67.6703321,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=35&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81760,82250,3531,75,2,done,55000,ARS,-34.979716,-67.6804514,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=34&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81761,82251,3531,75,2,done,45000,ARS,-34.9696147,-67.6990721,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=33&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81762,82252,3531,75,2,done,50000,ARS,-34.9689951,-67.7035949,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=32&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81763,82253,3531,75,2,done,70000,ARS,-34.9965107,-67.5118036,Propiedad en,inmobiliariaangelinam.com.ar/ver.php?id=31&propiedad=en++ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images;weak_title
81765,82255,3531,75,2,done,51000,ARS,-34.9779882,-67.6893858,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=29&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81767,82257,3531,75,2,done,50000,ARS,-34.9804883,-67.6991261,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=23&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81769,82259,3531,75,2,done,40000,ARS,-34.9965468,-67.5097744,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=21&propiedad=casa+en+alquiler+ubicada+en+bowen%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81773,82263,3531,75,2,done,37500,ARS,-34.979716,-67.6804514,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=17&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81774,82264,3531,75,2,done,67500,ARS,-34.9884479,-67.6783015,Propiedad en,inmobiliariaangelinam.com.ar/ver.php?id=16&propiedad=en++ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images;weak_title
81775,82265,3531,75,2,done,35000,ARS,-35.0013734,-67.5031178,Propiedad en,inmobiliariaangelinam.com.ar/ver.php?id=15&propiedad=en++ubicada+en+bowen%2C+mendoza,missing_city_or_province_but_coords_present;missing_images;weak_title
81776,82266,3531,75,2,done,49400,ARS,-34.9709246,-67.6980487,Propiedad en,inmobiliariaangelinam.com.ar/ver.php?id=14&propiedad=en++ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images;weak_title
81778,82268,3531,75,2,done,25000,ARS,-34.972896,-67.7066283,Casa en,inmobiliariaangelinam.com.ar/ver.php?id=12&propiedad=casa+en++ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images;weak_title
